No,Kab_Kota,Indeks_Kedalaman_X1,Indeks_Keparahan_X2,Presentase_Kemiskinan_X3,Data_Penduduk_Miskin_Y
1,Bogor,1.3,0.2,9,491
2,Sukabumi,1.2,0.3,8,199
3,Cianjur,1.9,0.4,12,261
4,Bandung,1,0.1,8,273
5,Garut,1.7,0.3,12,299
6,Tasikmalaya,1.7,0.4,11,196
7,Ciamis,1.1,0.2,8,99
8,Kuningan,2.2,0.5,14,144
9,Cirebon,2.2,0.5,13,288
10,Majalengka,2,0.5,13,152
11,Sumedang,1.5,0.3,11,121
12,Indramayu,1.6,0.3,14,237
13,Subang,1.6,0.4,11,170
14,Purwakarta,1.2,0.3,9,84
15,Karawang,1.8,0.5,10,231
16,Bekasi,0.8,0.2,5,164
17,Bandung Barat,1.9,0.5,12,192
18,Pangandaran,1.5,0.4,10,40
19,Kota Bogor,1,0.2,7,77
20,Kota Sukabumi,1.3,0.3,9,28
21,Kota Bandung,0.5,0.1,4,108
22,Kota Cirebon,1.8,0.4,10,30
23,Kota Bekasi,0.6,0.1,5,140
24,Kota Depok,0.3,0.06,2,51
25,Kota Cimahi,0.7,0.1,6,35
26,Kota Tasikmalaya,2.3,0.5,16,103
27,Kota Banjar,0.7,0.1,7,13
